popularity,vote_average,Action,Adventure,Animation,Comedy,Crime,Documentary,Drama,Family,Fantasy,Foreign,History,Horror,Music,Mystery,Romance,Science Fiction,TV Movie,Thriller,War,Western,nan
10.701801,6.5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
11.065939,6.0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12.133094,6.3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
10.332025,7.1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1.845899,7.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.681325,6.6,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2.228434,7.4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
9.822423,7.6,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
1.100915,6.5,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9.481338,6.4,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12.297305,7.4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0
0.745542,6.8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
14.404764,6.0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1.493361,6.4,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
6.891317,7.3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.114469,3.5,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
7.777735,6.1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
9.882383,6.9,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0.894647,6.7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.561387,6.9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
9.87957,6.6,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.979269,6.3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
10.870138,5.4,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
10.448481,6.7,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
4.485958,6.5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
18.45743,8.1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
13.280069,6.7,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.302524,5.9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
16.302466,8.1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0.595949,6.3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
15.899134,6.7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1.361286,7.7,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
5.982764,5.2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.093443,6.1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.307075,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
8.416802,6.3,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
10.168437,7.6,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0.120789,6.5,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
10.673296,5.9,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
4.733526,5.8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
7.137117,6.9,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0
11.700115,6.2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.174487,4.5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
6.387469,4.4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.49535,2.8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
4.046208,5.4,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2.518051,6.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
14.56965,7.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15.339153,6.9,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
5.912223,4.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
